Gene_Symbol	P-Pm-01-02_FPKM	P-Pm-01-03_FPKM	P-Pm-1-01_FPKM	P-Pm-1-02_FPKM	P-Pm-1-03_FPKM	P-Pm-10-01_FPKM	P-Pm-10-02_FPKM	P-Pm-C-01_FPKM	P-Pm-C-02_FPKM	P-Pm-C-03_FPKM	P-Pp-01-01_FPKM	P-Pp-01-02_FPKM	P-Pp-01-03_FPKM	P-Pp-1-01_FPKM	P-Pp-1-02_FPKM	P-Pp-1-03_FPKM	P-Pp-10-01_FPKM	P-Pp-10-02_FPKM	P-Pp-10-03_FPKM	P-Pp-C-01_FPKM	P-Pp-C-02_FPKM	P-Pp-C-03_FPKM
ABCB7	4.009437	4.043747	4.453189	4.682614	4.436669	4.865926	4.891196	3.89361	4.029362	4.155573	4.047358999999998	4.355949	3.807197	4.083577	4.5498	3.997634	4.34216	4.866058	4.627111	3.774425	3.825526	4.356022
ABCF1	32.678964	32.018277000000005	33.023071	31.261923	33.522042	25.281225	24.003836	34.780786	32.679156	32.893624	33.132711	32.624935	34.254438	33.646724	33.355684000000004	33.345704	24.412252	25.191717	26.083372	36.29838	32.707588	33.470174
ABL1	30.876493	30.243693	30.098974	30.348619	29.643356	23.491491	22.579992	28.868699	29.555551	29.641703000000003	28.965922	24.260767	28.81571	30.922121	31.086634000000004	29.818148	24.233564	26.382633	24.66289	30.083476	30.326211	29.376529
ABL2	15.01856	14.635628	14.418317000000002	14.931676	15.896838	11.882778	12.575046	11.914329	14.726119	14.40679	13.140376000000002	14.697622	14.915076	14.397488	15.452372	15.703785	12.963396	14.186743	13.440051	12.531896	13.405698	14.105966
ABR	19.56245	19.722966	20.282842	19.897497	20.054262	21.094961	21.925564	20.309008	19.227725	19.961778	20.690002	18.727608	22.962676	22.808356	21.834308	21.746983	23.261402	24.161982	22.739411	23.782851	21.711876	21.448969
ACAA1	18.793676	16.036714	15.934914	18.129372	15.435453	9.134861	9.19752	19.097278	15.590469	17.493434	17.176923000000002	14.234494	18.818676	17.100857	18.846151000000006	16.704176999999998	10.633005	11.012179	9.775434	17.904055	19.459533	17.866577
ACACA	19.853436	19.79858	19.150589	18.761665	19.584163	20.745414	21.021507	18.648015	19.99429	20.272017	19.758052	20.336134	21.644114	20.13016	20.116133	20.659158	22.694322	22.432329	22.006544	19.615967	20.311006	20.685389
ACACB	0.212239	0.273094	0.190638	0.225557	0.209235	0.11403599999999997	0.223417	0.193877	0.233095	0.277424	0.222836	0.21075700000000006	0.358241	0.31198000000000004	0.177404	0.228886	0.087164	0.109427	0.151555	0.241327	0.206319	0.303554
ACADM	11.791672	14.747928	15.414181	13.264404999999998	14.178869	10.851462	10.578747	9.357208	12.721122	12.566957	13.736341	14.317022	13.938622	12.901494	13.09427	14.063202	11.025876	11.295675	10.11172	12.534819	13.675521	12.41293
ACADS	2.743819	2.492928	2.4215470000000003	3.955554	3.846499	3.682304	5.054252	2.904572	2.963274	3.281527	3.89318	3.178917	2.362519	3.900341000000001	2.799735	3.296615	4.87931	4.219035	3.748543	3.06885	3.413552	3.082318
ACADSB	2.740358	3.218228	3.329071	3.130369	3.047676	2.243667	2.352042	2.1683790000000003	2.928961	3.1726650000000003	2.847957	3.3683440000000004	3.151369	3.031523	2.889727	3.603837	2.280708	2.296877	2.159713	2.4729650000000003	2.835852	3.202766
ACADVL	55.008187	53.156521	56.501775	51.718139	58.870825	88.496425	84.37639300000002	56.93824	52.38710800000001	53.188948	54.225099	42.164402	49.700831	55.031034	52.87095600000001	48.37902	74.17436	80.22126999999998	76.18294300000002	53.448639	51.411226	53.553774
ACAT1	29.874726000000006	30.030699	34.448936	28.675899	33.343591	28.380228	32.932395	29.385793	29.764425	32.128631	31.089922	36.362498	32.173227000000004	29.03661	32.160323	35.84107	31.74173	31.341195000000006	30.883989	31.849703	30.724171	29.462794
ACAT2	36.221575	39.024862	36.001631	34.279346999999994	37.403502	24.437448	23.119695	36.214388	38.298263	36.146878	41.191299	39.774988	39.395705	38.556987	36.767083	41.054896	27.24127	27.780339	23.874703	42.068926	38.929409	40.457012
ASIC1	1.396318	1.160436	1.013388	1.249824	1.0686209999999998	1.709771	2.393908	1.515431	1.120959	1.077787	1.213339	1.148823	1.052964	0.987823	1.096961	1.027799	1.98456	2.10216	2.015128	1.297106	1.094131	1.323476
ACHE	0.195872	0.409345	0.216958	0.488763	0.376669	1.160147	1.011407	0.269496	0.15695	0.200232	0.339716	0.098419	0.287552	0.218008	0.38568	0.323534	1.173523	1.176756	0.933159	0.27562600000000004	0.154905	0.291973
ACLY	118.397617	119.655155	116.345944	113.920065	121.511804	116.70306399999998	113.549063	118.805928	113.689699	117.127748	123.27656100000002	116.283106	123.904621	124.871639	123.760287	123.582179	122.879733	121.458742	120.219016	127.670213	123.167856	124.290794
ACO1	15.498073000000002	20.553474	15.621898000000002	16.216086999999998	15.261054	16.352414000000003	16.851588	15.403769	14.240863	14.327976	12.273869	13.795082	12.696525	14.049611	14.450804000000002	12.871428	14.577778	14.461435	14.280007	12.778692	11.902466	18.18243
ACR	0.08995399999999999	0.0	0.082775	0.265198	0.114433	0.048816000000000005	0.179294	0.131096	0.13459400000000002	0.14921099999999998	0.021702000000000003	0.196176	0.035302999999999994	0.0	0.0	0.032736	0.237936	0.16577	0.072045	0.0	0.072616	0.101279
ACO2	36.939771	35.842415	34.373645	34.526868	35.711675	38.294076	38.283821	39.065924	34.451243	35.956999	35.236518	31.44825	35.150162	36.333657	35.766677	35.410745	34.578662	37.667875	35.449541	38.982325	36.007772	33.792953000000004
ACOX1	5.540079	5.325692	5.527667	5.133889	5.545491	6.566271	6.727422	4.765963	5.657743	5.524183	5.203143	6.340675	5.8742	5.474175	5.393182	5.9332400000000005	5.881118	6.202628	6.092863	5.269851999999998	5.215758	5.603653
ACP1	40.19098	39.985318	43.820984	41.215498	40.182005	37.483041	38.196861	35.072213	39.030248	38.96603	42.754452	40.891465	39.234885	43.038673	43.539275	40.032659	37.091099	39.045865	36.800539	39.836846	40.29059	40.260101
ACP2	12.73174	11.975812	12.575119	11.636662	12.623833	6.621383	6.669878999999999	13.019169	12.845806	12.218761	14.83129	13.308608	12.961805	14.660512	13.9526	13.580838	7.582939	7.833814999999999	7.080399000000001	14.932391	15.041875	14.87779
ACP5	0.708152	0.648291	0.555497	0.562815	0.329533	0.17914000000000002	0.265296	0.700457	0.457305	0.442867	0.21020100000000005	0.126157	0.214308	0.19691	0.0	0.347679	0.316153	0.094456	0.0	0.447562	0.17532	0.173814
ACTA2	17.746787	16.415243	17.188935999999998	16.469014	15.271002	32.419340000000005	33.552883	19.160752	17.173474	19.122997	12.657348	11.794279	13.87156	11.905469	13.152709	12.286411	30.475238	30.993314	31.55759	15.175248000000002	14.141488	13.892579
ACTB	3207.475586	3047.372314	3118.986816	3076.387695	3045.1176760000008	2503.582031	2466.54541	3453.963379	3143.342285	3174.511719	3106.592773	2739.421143	2979.115723	3204.958496	3227.227539	2865.334961	2524.811035	2558.928955	2481.148193	3361.068115	3136.669678	3088.423096
ACTG1	2116.548832	2014.042154	2035.770025	2138.938754	2149.916587	1916.770857	1854.694425	2328.319141	2082.102645	2049.716075	1940.854529	1702.816279	1870.488273	2031.285261	2047.985267	1889.314081	1727.150385	1772.095757	1717.3537379999998	2047.88537	1929.540861	1950.314401
ACTG2	13.821402	13.891012	15.255564	15.402695	14.914628	8.230547999999999	8.580743	16.441425	13.615339	14.593401	12.222541	11.268735	10.79357	13.191857	11.933064	11.757101	8.122044	6.932474000000001	7.598236999999999	11.578902	11.629967	12.664169
ACTN4	165.58898200000004	184.627269	160.242065	159.69753500000004	163.163048	151.790424	185.295671	175.329702	186.58986	199.555134	184.66997	149.431043	184.749288	199.015507	199.88879	181.801508	166.465916	166.11564199999995	161.582356	173.549575	196.40818	160.149271
ACTL6A	32.077684000000005	31.663405	33.094604	33.437407	34.061066	23.560614	22.656597	29.785342	35.039694	30.748642	33.239647	34.362735	33.928577000000004	32.873674	33.818876	32.468636	23.538092	26.93128	23.274674	32.993402	32.574051000000004	31.660731
ACTN1	226.407204	219.683	220.526208	221.12297200000003	225.498369	198.559225	199.194205	231.792303	214.948891	224.089923	204.671485	175.274053	194.898463	213.511865	210.645507	197.190151	208.911287	212.27658	205.747113	210.579089	203.711611	205.075747
ACVR1	12.50211	11.384089	10.219613	10.827648	11.227566	11.675049	11.105271	10.259831	11.341241	12.054386	10.784247	11.265315	11.697359	11.845932	11.695606	12.054454	10.976386	11.584061	10.86581	11.77713	11.776619	11.495592
ACVR1B	5.331777	5.272631	5.48689	5.016563	5.2510309999999984	5.191237	5.341154	4.69217	5.2107730000000005	4.890159	4.4137330000000015	5.005303	4.842353	4.966664	4.807608	4.944355000000002	4.5657809999999985	4.800467	4.990621	4.992378	4.605072	4.957862
ACVR2A	1.343305	1.162919	1.393843	1.254181	1.074247	1.243806	1.445919	0.998991	1.397668	1.501502	1.257946	1.458686	1.182866	1.245136	1.094816	1.376997	1.349997	1.026837	1.220702	1.24661	1.359164	1.455553
ACVR2B	0.7746460000000001	0.864375	0.6210359999999999	0.7694850000000001	0.780373	0.707101	0.8731760000000001	0.593212	0.681475	0.713345	0.640575	0.472564	0.780886	0.6594899999999999	0.608158	0.7084590000000001	0.791203	0.931066	0.68391	0.552721	0.549966	0.506279
ACVRL1	30.23512	28.532515000000004	30.169154	28.872411	32.408624	44.432929	46.953742	30.785687	29.271022	27.559493	33.728055	31.449177	35.00865	34.320640000000004	34.82210300000001	32.290151	42.06206	46.477954	41.760448	33.890549	32.041681	33.494978
ACY1	7.915899	7.65941	6.95995	8.508589	6.792232	10.257609	9.872728	9.830224	7.585738	9.036828	8.440358999999999	6.766941	6.034095	9.50306	5.904374	8.035417	9.903857	10.320877	10.787995	7.8662740000000015	8.13514	8.287422
ACYP1	6.861273	6.223155	6.369668	7.610044	8.240502000000001	7.184386	8.150780000000001	7.1477460000000015	7.082000999999999	6.2956400000000015	8.499257	7.341286999999999	8.159751	9.669275	7.202085	8.40017	8.06173	8.3124	8.543499	8.269746000000001	7.580466	7.554456
ACYP2	1.611993	1.623712	1.462014	1.703302	1.616233	3.1759470000000003	2.445331	1.080925	1.480596	1.274638	1.751946	1.948496	1.608019	1.52176	1.2761360000000002	2.390409	3.012515	2.58957	2.568228	1.9847740000000005	2.119439	1.7243080000000002
ADA	7.4702410000000015	7.276517	7.26111	6.79856	7.042161	8.419849000000001	9.110708	7.48845	7.049478	6.3778169999999985	5.446952	5.389444	5.496835	5.273087	6.377622	6.184376	8.311453	8.05534	8.590342	6.858067	7.125308	6.6099679999999985
ADAM8	0.459984	0.466009	0.342584	0.457772	0.357195	0.472433	0.567918	0.546434	0.397431	0.60822	0.8226549999999999	0.490901	0.6917949999999999	0.676651	0.363616	0.6799229999999999	0.7513850000000001	0.792859	0.7623479999999999	0.924621	0.759076	0.680207
ADAM10	18.782169	23.078372	17.709188	14.710608	18.586476	14.75501	14.960069	11.96349	14.913619	19.427571	13.805901	27.125316	17.301433	21.710747	14.698084	17.126185999999993	20.347295000000006	16.245567	17.186956	13.198023	14.540401999999998	14.708443
ADAR	40.869136	39.770296	39.432725	39.203232	40.842728	34.408674	34.477468	37.161991	39.27021	37.929848	57.122644	62.084395	63.704796	57.943065	56.298546	61.108101	51.947758	53.453836	49.527165	58.450434	60.938842	60.558872
ADARB1	6.170222	5.7209949999999985	6.04691	5.100748	5.87666	12.445413	10.871522	6.0279099999999985	5.713021	5.781542	5.734527	6.40134	5.871097	5.716575	5.833258	6.205523	10.897417	11.594948	9.891945	5.2822510000000005	6.0171800000000015	6.633066
ADCY1	0.108977	0.208282	0.151488	0.096241	0.111177	0.17415799999999998	0.111949	0.095993	0.133132	0.104236	0.264281	0.094546	0.053365	0.075418	0.10611	0.07435399999999999	0.124683	0.092983	0.063606	0.08618300000000001	0.082569	0.109325
ADCY3	9.886249	10.278216	9.540446	9.06371	10.245297	8.678616	8.419585000000001	10.488183	9.22199	9.313013	9.11958	8.04407	8.383083000000001	10.052647	9.548164	9.849611	8.472875	9.7597	9.739666	9.416303	9.624581	9.388927
ADCY6	7.62962	7.483967	6.793951	7.533239	8.375017999999999	10.832002	10.947243	8.092974	7.295628	7.7781850000000015	7.230982000000001	6.52879	8.268628999999999	7.614224	8.023047	7.471255	11.454703	11.066911	10.851988	7.292982	7.428228	7.652997
ADCY7	4.1361930000000005	4.019558	3.98467	3.584279	3.701552	5.635565	5.360439	4.312863	4.323	4.1643550000000005	4.226781	3.4442410000000003	3.998532	4.325174	4.072731	3.77929	6.0422910000000005	6.308629	6.389188	4.2897440000000016	4.623366000000001	4.887264
ADCY9	3.574006	3.636459	3.392724	3.330454	3.269752	3.049865	3.208015	3.434339	2.893783	3.171758	3.434306	2.953609	3.4369050000000003	3.626928	3.173156	3.194354	3.224303	3.520463	3.454162	3.053211	3.3153050000000004	4.003236
ADCYAP1R1	0.027082	0.088301	0.037841	0.054422000000000005	0.053346000000000005	0.21098000000000006	0.155404	0.027574	0.078454	0.046018	0.064471	0.027007	0.028766000000000007	0.065358	0.046372	0.05359	0.13055	0.175994	0.198134	0.027127	0.020166	0.051964
ADD1	73.19546700000002	71.168377	72.975767	69.337598	70.982919	55.12075400000001	56.656072	71.239738	70.064807	71.25916600000002	71.407113	64.74177399999999	70.620492	70.955764	71.37472700000002	70.13503	57.717423	58.85876999999999	57.54136	73.005325	70.890359	70.5831
ADD3	19.885606	24.828681	22.322451	21.091021	21.281349	13.34256	12.252012	16.742252	21.537169	22.074846	24.891943	26.044764	27.409709000000007	24.012185	22.289022	25.092486	13.01142	12.915422	13.047329	21.619749	25.222411	25.24719
PLIN2	39.660145	36.485263	35.944733	36.109922	35.52355	34.551231	34.483427	39.828629	37.044689	39.120629	36.03594	38.308317	36.809378	33.89837	35.962601	37.043524	34.001492	33.858729	31.234790000000004	36.74552	36.48790200000001	36.245666
ADH5	45.131748	44.720173	48.675781	44.449783	46.570274	35.274704	34.135174	42.808788	44.619408	41.221214	44.8857	46.500721	47.286621	41.164173	43.118263	44.04015	33.999817	34.722729	35.05402	44.785545	43.219925	45.060837
ADK	15.462492	16.702696	16.942504	17.232127	15.933059	21.3535	22.070338	13.909566	18.142237	16.681617000000006	18.221698	20.518925	19.5441	18.800697	18.516751	18.276913	21.644733	21.362038	21.155052	17.518217	17.113239	16.819853
ADM	24.328089	24.11256	24.472357	23.895931	21.422703	34.838959	34.532452	22.682829	24.691658	25.123383	22.203711	19.428795	24.259907	24.029253	25.153091	23.727255	34.906822	34.718594	34.814304	27.946287	25.288641	24.97624
ADORA2A	2.088522	0.084191	4.381747	4.869054	3.470054	0.04779	0.5936640000000001	5.866452	0.136694	3.132649	3.944961	3.537186	3.0709	3.3103510000000003	0.13418	0.296595	0.660346	2.30338	0.106251	4.102338	2.505377	0.029498000000000007
ADORA2B	5.202114	4.521745	5.358708	4.963629	4.295226	5.661017	6.1247989999999985	4.627555	5.745953	4.82126	5.121179	6.1104970000000005	5.2644720000000005	5.352053	5.285128	4.9856	6.6505990000000015	7.488419	7.103227	5.950506	5.621931	5.717696
ADPRH	1.021428	0.984262	1.171765	1.245718	1.189872	1.103105	1.480134	0.910337	0.913069	0.982152	1.127555	1.322484	1.476997	1.201865	1.028605	1.200756	1.365117	1.464799	1.564253	1.328386	1.186538	1.483841
PARP1	55.656578	53.939877	55.515205	53.841496	55.653118000000006	28.95734	30.019836	51.770882	51.326466	55.520527	53.512703	52.23888	53.555092	55.849598	54.386635	55.32849100000001	31.042191	31.042313	29.98399	55.499077	52.428822	52.760094
PARP4	32.290288000000004	32.518998	35.288892	32.237336	34.531937	41.15921	41.398548	27.781083	31.213587	31.748078000000003	35.341824	38.190409	37.651972	37.54754000000001	37.37063300000001	36.463105	45.930852	46.98733	44.507345	34.030738	34.664238	35.510953
ADRA1D	0.949441	0.8443379999999999	1.036328	0.764007	1.109277	0.966877	0.6942510000000001	1.08252	1.114566	1.016869	1.23661	0.8084060000000001	0.576784	0.988842	1.369373	0.8288969999999999	1.100009	1.422817	0.964755	1.139792	0.910847	1.121721
ADRA1B	0.706959	1.070287	0.7420720000000001	0.780741	0.6865399999999999	0.498681	0.650457	1.305112	1.339172	1.0706209999999998	0.617171	0.771079	0.740899	0.7536229999999999	0.79115	1.076249	0.526558	0.752694	0.681542	0.8828739999999999	0.8268979999999999	0.999674
ADRB2	1.615923	1.868673	2.107681	1.462759	2.349999	2.331423	2.233894	1.6610169999999995	1.669539	1.753955	1.779654	1.859443	1.948573	2.095023	1.866666	1.702661	2.981786	3.120797	2.364727	1.7940580000000002	1.7202810000000002	1.836275
GRK2	15.541037	16.453119	15.841434	17.105262	15.926870999999998	17.894182999999995	18.532217000000006	17.530723000000002	15.696896	15.902648	17.818096	13.479679999999998	16.618057999999998	18.087864	16.266932999999998	17.626182	17.837151000000006	19.345765	17.979392999999995	17.574664000000002	17.529967000000006	17.383622
GRK3	0.574703	0.539464	0.603414	0.518993	0.497489	0.8442780000000001	0.860089	0.494473	0.767911	0.489388	0.5974189999999999	0.718521	0.689902	0.6941390000000001	0.630308	0.598601	0.957261	0.8547239999999999	1.064733	0.5306609999999999	0.584314	0.720435
ADSL	31.114148	36.91359600000001	35.66854199999999	28.829211	30.947547	25.172815	21.684553	24.945292	21.259733	21.593944	32.632342	25.297395	32.45389	24.457865	22.871657	25.931865	15.327916	18.514972	24.363953	28.664653	28.741718	31.175603
AP2A1	44.850632	45.96207	46.610331	47.010687	48.530466	48.833133	47.317223	51.292982	47.47575	48.083017	44.113681	36.949913	44.91845	45.49655900000001	48.14885	43.476727	44.03145900000001	46.471681	46.341328	48.183504	48.042919	47.07995
AP2A2	21.137833	20.944254	20.436563	21.375817	21.386044	17.05985	17.72239	23.046289	20.45532	21.376504	18.891070000000006	17.037848999999998	19.668718	19.87573	20.55599	20.521019	17.291298	18.497507	16.943325	20.102334	20.39644	19.364622
AP1B1	33.403114	33.321272	33.468494	33.179889	34.924973	29.445185	32.028063	36.695253	32.238404	32.820449	34.499574	29.815668	32.964545	36.400449	35.66529600000001	33.210732	28.670119	29.810537	28.427135	36.224996	35.5009	34.988071000000005
AP2B1	68.274555	67.589851	68.821023	67.75907099999999	67.69837199999999	72.881304	71.10682299999998	60.657337	65.468512	64.835073	64.482197	69.912499	68.763544	66.96686899999999	66.693503	69.68294	73.600224	72.037442	70.374258	64.801755	63.789139	67.90926400000001
AP1G1	18.384599	19.635203	19.11991	18.705372	18.767757	17.212763	15.563029	15.984816	17.905044	19.446571	18.163695	20.706396	19.971914	19.001254	18.710121	19.093539	17.048116	16.758419	16.707901	17.513302	17.786838	18.919311
AEBP1	33.582402	34.315096999999994	32.969832000000004	31.555265	33.00976	48.823012	51.063607	36.57001500000001	32.271751	35.319732	33.742521999999994	23.48564	33.389661	33.656676000000004	34.604903	33.349422	52.180942	56.527776	52.170571	36.192718	35.228406	34.688144
AFP	0.298869	0.057238	0.322572	0.170017	0.117346	0.06809	0.0	0.294496	0.15378499999999998	0.110649	0.382548	0.182302	0.20506	0.296921	0.07512	0.105936	0.182789	0.084668	0.095145	0.15871400000000002	0.185946	0.211059
AGA	4.6803230000000005	4.338812	4.619915	4.4020470000000005	4.732512	3.0450470000000003	3.04949	4.818492	4.844618	4.517914	4.683075	5.218548	5.480654	5.012791	4.2807580000000005	4.833442	2.637052	2.696285	2.519156	4.704331	5.37685	5.517682
ACAN	0.576276	0.5176470000000001	0.446987	0.5876170000000001	0.442767	0.40647	0.239139	0.6133350000000001	0.419325	0.643781	0.250706	0.245653	0.330348	0.245858	0.204444	0.268896	0.310758	0.202045	0.268421	0.197357	0.287401	0.33315500000000003
AGER	1.321692	2.109854	1.526456	1.705005	2.152203	1.328481	2.158515	2.231156	1.997904	2.435128	2.241112	1.374743	1.518708	1.79015	1.760212	1.542338	1.999777	1.874286	1.864066	2.190692	2.094638	2.076736
AGL	2.262852	2.51562	2.49032	2.250363	2.5398650000000003	2.773124	2.836094	1.752779	2.643478	2.380372	2.181968	3.170209	2.857905	2.691768	2.28068	2.890733	2.636673	2.513927	2.4287810000000003	2.360116	2.4279330000000003	2.509481
JAG1	10.904675	11.813443	11.263365	11.419029	11.915742	20.509674	20.276432	10.40258	10.572083	10.56804	11.269542	11.183403	11.979592	11.915797	11.662618	11.544765	17.607063	17.85935	18.258354	10.653717	11.098195	11.308826
AGTR1	1.156644	1.107218	0.932861	0.768073	0.972774	1.642236	1.743081	0.802724	0.980865	0.8930819999999999	0.883683	0.923335	0.529334	0.78822	1.176225	0.82284	1.574509	1.968221	2.655126	0.926702	0.719929	0.80332
APLNR	0.060226	0.074018	0.110193	0.184577	0.135597	0.012003	0.009993	0.072429	0.153031	0.132452	0.0486	0.013724	0.013087	0.060475	0.062263	0.012074	0.0	0.012635	0.00639	0.034439	0.019256	0.018622
NR0B1	0.0	0.140623	0.09198	0.026828	0.106426	0.3417	0.587721	0.043211	0.0	0.0	0.0	0.05768	0.028265	0.045199	0.096077	0.05164	0.4281390000000001	0.5161819999999999	0.679466	0.0	0.15261	0.043912
AHCY	58.73226800000001	58.497124	57.616065	59.064277	59.423988	60.654138	61.113113	62.786297	56.70729	55.609028	53.451604	48.694368	51.700493	53.698672	54.66975600000001	52.538061	50.767802	54.368417	52.24608	56.244806	54.603735	54.71251700000001
AHR	13.53968	16.290461999999998	15.656481	15.714413	15.98289	12.901511	12.404225	12.51413	15.241295999999998	14.980579999999998	15.162346	17.151239	17.380005	15.278715	14.830007	17.709518	12.291315	12.324621	12.514212	13.756652	16.016373	16.313038
CRYBG1	4.574644	5.019849	4.764485	4.95714	5.0259	3.731611	3.481093	4.440165	4.893809	4.73912	5.919292	5.897305	5.765061	5.449708	5.065713	5.0820940000000006	3.84151	3.842363	4.045456	5.361174	5.508921	6.171017
AK1	16.619116	15.889079999999998	17.178134	16.359525	16.668893	17.374943	15.701215	18.761806	17.2196	17.099209	15.293897	13.677174	15.896671	15.421203	15.604667999999998	15.854388	17.105273	17.693839	15.811323000000002	17.283117999999998	15.868518	16.398554999999998
AK2	23.980515	27.213292	27.217067	23.346742000000006	27.206198	24.316196	22.604707	22.55886	22.758812	26.817892	24.449684	25.092487	25.698113	24.829602	25.988175	30.236191	20.456811	22.335339	24.496253	29.779163	27.084413	25.01738
AK4	1.263386	1.206862	1.259557	1.139802	1.343959	3.390874	3.853216	1.11981	1.233666	1.045456	1.189079	1.463482	1.439201	1.27584	1.717345	1.207517	3.867812	3.673834	3.764583	1.121117	1.241681	1.332539
AKT1	85.020415	79.813841	75.336471	81.712712	78.146908	65.812412	67.888614	87.866496	78.272616	77.434028	81.55359200000002	65.480297	73.117182	86.449348	85.30529399999998	79.729008	69.659417	70.475029	71.59561	87.75464000000002	84.864783	80.685848
AKT2	18.893702	19.952547	20.128286	21.960404	21.737715	16.616055	16.834985999999994	21.8584	20.442158	21.251474	20.197066	15.004270000000002	19.221119	19.173294	20.027863	19.737335	16.864099	18.177834	18.139957	21.478602	21.425558	20.215765
ALAD	9.928211	8.686159	10.182687	8.791438000000001	9.358295	7.210435	7.442062	8.443817	9.119194	8.559917	8.919439	8.764750999999999	8.547472	9.104814	8.944278	8.916729	7.690856	7.788823	7.709743	9.319649	8.421465	8.621007
ALAS1	16.233021	16.390085	14.69432	17.396754	17.094192	20.560794	21.426849	15.910284	15.338956	15.108559	18.224637	17.361701	18.371886	17.472552	16.363934	16.156912	23.635549	25.631828	24.230334	17.623053	19.112018	17.538086
ALCAM	61.493782	66.77157	68.220639	64.398547	67.690673	48.565884	48.70797	50.017409	63.584437	65.69595699999999	57.421558	66.921527	63.481989	60.676985	57.093704	63.227176	52.016789	50.55695	50.083411	54.585477	59.15361400000001	62.078752
ABCD1	3.821462	3.765671	3.658921	3.904523	3.844437	4.185596	4.408278	4.39774	3.559445	3.931553	4.185331	3.158481	4.589286	4.3753470000000005	4.842639	3.4445410000000005	4.774333	4.409514	4.279859	4.83086	4.731503	4.605296
ALDH1A1	18.056366	17.310059	18.37941	18.134882	20.208088	13.149647	11.21823	15.294044	15.984382	16.460136	20.138193	21.179636	20.797152	19.551285	18.688925	19.981071	13.120203	12.968032	13.543189000000002	17.506994	17.707251	19.687042
ALDH2	4.04672	3.61256	3.733798	3.901078	4.056303	4.060434	3.99301	3.791582	3.763586	4.260081	3.5077830000000003	3.612917	3.639761	3.703247	3.234621	3.70561	3.502231	3.331164	3.416749	3.319506	3.741913	3.595028
