Gene_Symbol	C-Pm-01-01_FPKM	C-Pm-01-02_FPKM	C-Pm-01-03_FPKM	C-Pm-1-01_FPKM	C-Pm-1-02_FPKM	C-Pm-1-03_FPKM	C-Pm-10-01_FPKM	C-Pm-10-02_FPKM	C-Pm-10-03_FPKM	C-Pm-C-01_FPKM	C-Pm-C-02_FPKM	C-Pm-C-03_FPKM	C-Pp-01-01_FPKM	C-Pp-01-02_FPKM	C-Pp-1-01_FPKM	C-Pp-1-02_FPKM	C-Pp-1-03_FPKM	C-Pp-10-01_FPKM	C-Pp-10-02_FPKM	C-Pp-10-03_FPKM	C-Pp-C-01_FPKM	C-Pp-C-02_FPKM	C-Pp-C-03_FPKM
ABR	18.666484	18.426685	17.5705	18.021901	16.980258	18.305449	21.138196	21.148949	21.507775	18.404052	17.711285	17.903724	19.786032	19.024576	19.762915	17.706822	19.268424	21.103313	20.732381	21.624254	18.00299	17.866343	18.440119
ACAA1	20.582317	19.478582	17.00655	18.750655	17.491770000000002	18.016185	9.365238	8.87885	9.023438	19.421435	19.590748	19.314222	21.170024	21.329963	20.817001	17.354193	19.214981	9.815371	10.370876	10.548323	18.516159	21.420563	20.516594
ACACA	14.436914000000002	15.634963	14.897859	13.746571	13.075153	14.645056	14.18046	12.951561	14.301308	15.779935	15.516856	15.544436	13.658423	13.606595	12.894239	12.077669	13.264473	12.303725	12.602145	12.800071	13.411659	12.90532	13.482246
ACACB	0.104539	0.184703	0.101944	0.177586	0.10926099999999997	0.079137	0.06995599999999999	0.054987	0.079073	0.105586	0.148332	0.090308	0.28680500000000003	0.14640699999999998	0.114861	0.093035	0.165484	0.092976	0.05815	0.1441	0.237366	0.153088	0.137856
ACADM	12.495277	13.510642	13.825071	13.636981	12.907201	13.5779	11.149742	11.382251	9.630697	12.650793	12.677376	12.939485	12.771015	13.193979999999998	13.158395	12.699062	13.159842	9.619024	10.893049	9.388	14.374017000000002	12.184226	13.704907999999998
ACADS	3.188546	2.222281	2.867021	2.993485	2.4467950000000003	3.188719	5.136657	4.770995	2.935762	2.359628	2.533335	2.914104	2.600057	2.320821	2.452321	3.3930160000000003	2.595344	5.0388199999999985	4.321212	3.983458	2.904208	2.830325	2.525197
ACADSB	3.333394	3.213522	3.095223	3.544528	3.07436	3.557604	2.086187	1.851356	1.7069849999999998	3.206489	3.296935	2.956521	3.158634	3.427283	3.040267	3.352224	3.5088	2.255274	2.035101	1.935169	3.747771	3.095161	3.702364
ACADVL	54.642713	48.681095	52.502462	54.958376	52.759582	55.341413	87.616455	89.659173	92.225286	55.439844	50.689185	53.398821	48.177485	48.892277	49.74622700000001	52.88354399999999	47.295052	81.929789	87.935407	86.868267	47.609977	48.201377	46.798231
ACAT1	31.887194	30.643513	33.606489	30.981205	34.814144	33.159332	31.895368	33.182066	31.99359	31.389252000000006	31.982542	32.186184000000004	29.399015	30.637633	34.536818	33.619419	33.269853999999995	34.415555	33.740716	33.622394	33.742273	30.402295	33.480937
ACAT2	20.245741	21.264733	21.169358	18.339651	19.879091	20.534495	24.193774	27.577866	23.012194	22.912896	23.005208	20.507404	18.280276	18.00968	17.34542	15.828329	16.630321	19.778166	19.968494	19.195375	17.651947	17.090605	17.461261999999998
ASIC1	0.924098	0.968301	0.792148	0.863758	0.997907	0.952956	1.799551	2.1461810000000003	2.029593	1.005235	0.958113	0.659645	0.7273470000000001	0.732877	0.5433640000000001	0.965645	0.7125239999999999	2.046039	2.542317	1.99886	0.68313	0.7628060000000001	0.927214
ACHE	0.544638	0.559077	0.515979	0.590535	0.429876	0.38482	1.566925	1.7690990000000002	1.500463	0.698285	0.581384	0.5796439999999999	0.454155	0.528229	0.466025	0.319558	0.518016	1.534088	1.81124	1.997469	0.159615	0.4871970000000001	0.323466
ACLY	116.448741	115.054378	117.363532	115.039776	107.103029	113.255415	121.287591	123.178476	121.963358	122.618414	120.967988	115.111839	108.494134	107.172311	104.643342	104.953075	105.419043	109.884641	113.759085	111.167344	108.533193	105.522217	107.820178
ACO1	23.549056	19.618811	19.06655	22.234008	20.928441	19.037219	22.240865	24.196368	23.925385	20.972771	23.962971	19.599120000000006	11.601142	18.702778	12.40728	12.719936	11.892901	21.782591	21.178778	20.315265	11.906153	13.506798000000002	11.682483
ACO2	35.198096	34.035671	34.094106	33.923229	33.503827	34.99277	35.354624	38.312051	36.932109	36.207332	34.640565	34.335916999999995	33.883553000000006	34.138328	35.339375	33.292728000000004	33.478492	35.0144	36.115024	36.053005	34.92738	35.869144	35.89784
ACOX1	5.933517	5.915295	5.286154	5.856188	5.38522	5.857084	5.181129	5.423453	5.7209400000000015	6.292518	5.724542	5.4980699999999985	5.159967	5.39504	5.354793	5.185635	5.01371	5.687685	5.101891	5.132402	5.048051	5.527838	5.358859
ACP1	35.841638	37.778556	37.501697	37.627113	36.870554	37.051726	33.314983000000005	39.029621	36.658712	36.354311	37.888198	37.612393	35.009348	35.888227	35.063077	39.348543	39.082058	33.711139	35.202393	38.386394	36.819757	37.797825	37.317317
ACP2	12.381745	12.766011	12.203218	11.81244	12.7368	12.020066	6.016469	6.95087	5.365578	14.184619	12.776548	12.446159	15.057663	13.834612	15.514164	14.987771	12.955735	7.040431	7.9402339999999985	7.5058	14.51275	15.149474	14.879772
ACP5	0.096698	0.176063	0.055895000000000014	0.0	0.069477	0.07309	0.106055	0.131867	0.174076	0.043121	0.052058000000000014	0.0	0.053415	0.172915	0.151719	0.026982	0.179474	0.138266	0.0	0.069238	0.026976	0.111341	0.04281
ACTA2	123.399757	114.09228799999998	121.726109	123.57648600000002	116.263987	118.683152	95.736594	100.731599	96.988037	128.086693	130.448824	118.208539	59.680101	59.611257	62.828977	70.015794	58.886583	79.827462	85.662665	75.766065	60.995029	63.788414	60.464806
ACTB	4352.134765999999	4237.504883	4385.563965	4377.784668	4181.394043	4121.458496	3392.998535	3842.074707	3529.784912	4485.053711	4510.895508	4405.7666020000015	4118.9521479999985	4004.932129	4205.0791020000015	4231.6708979999985	3937.797852	3367.801025	3456.362793	3378.634033	4116.195312	4074.777344	4114.146973
ACTG1	2806.637867000001	2683.520905	2805.818325	2844.990601	2699.812861	2683.491451000001	2395.869779	2701.881872	2380.355354	2793.088142	2874.523567	2819.576199	2408.401421	2326.13888	2537.625988	2602.150411	2404.101272	2023.662395	2011.084667	1998.826029	2434.868119	2433.921109	2423.741303
ACTG2	5.273146	4.617138	5.398039	5.355615	5.5308730000000015	4.632199	7.304347	7.919239	6.6844660000000005	5.1452160000000005	5.927997	5.484651	7.535214	6.80963	8.363539	7.908711	7.24247	15.087163	15.055307999999998	13.02013	9.103715	6.623285000000001	6.237415
ACTN4	203.711197	170.665481	199.001203	206.733046	192.30351	189.006487	153.773472	197.168168	192.737828	200.695136	205.560291	204.215894	212.760739	207.038695	214.16836	209.359081	202.472706	191.189488	165.664167	148.52276	181.657739	185.746967	178.96595200000004
ACTL6A	27.985782	28.610592	29.104729	28.678563	28.339655	31.220441	20.818106	21.811377	22.246745	26.695265000000006	29.591148	27.338368	29.683231	31.394277	29.797813	30.451704	29.66426	20.798436	20.478712	21.447357	29.934012	31.065064000000003	30.206451
ACTN1	255.583306	250.488821	255.108314	253.527528	235.71914	246.167981	262.951579	280.887173	275.996755	256.002331	255.706528	253.539282	221.45415	220.327031	224.443328	227.01881	219.507826	242.827516	251.14668	240.780408	223.831784	224.020639	219.393051
ACVR1	9.516193	9.266665	10.276689	9.643181	8.833646	10.053354	8.855614	8.62497	8.049644	10.469416	10.091494	10.266115	9.515141	10.551564	9.21317	9.291578	9.740061	8.544516	8.186944	8.34654	9.811267	10.305077	9.955412
ACVR1B	5.793885	5.156975	5.460335	5.333409	5.309895	5.615199	5.612523	6.297171	6.143239	4.3535949999999985	4.982978	5.677592	6.241703	6.161733	5.985689	6.201453	5.654378	6.020614	5.647239	5.899869	5.244165	6.0700949999999985	6.079067
ACVR2A	1.016084	0.867799	1.055715	0.909501	0.801235	1.092966	1.1294620000000002	1.122016	0.737675	1.013995	1.048243	0.975484	0.961985	1.029977	0.840517	0.8879600000000001	0.999596	1.053949	0.922143	0.8669479999999999	1.0070059999999998	1.066766	1.108241
ACVR2B	0.4491520000000001	0.475558	0.531319	0.507058	0.476892	0.39675	0.537033	0.593223	0.5531550000000001	0.466887	0.565157	0.437781	0.410455	0.433172	0.396812	0.438991	0.473545	0.587633	0.503129	0.486045	0.31847600000000004	0.419086	0.423507
ACVRL1	4.32867	4.75385	4.891869	4.085948	4.21906	5.1205	4.806158	4.9122900000000005	4.2715239999999985	5.0050620000000015	4.445192	3.773258	5.484017	5.563602	5.1356480000000015	4.781747	5.203482	4.780568	5.155345	4.9326550000000005	5.429779	4.76326	5.370086
ACY1	8.684751	10.876638	11.13036	8.601885000000001	9.656481	10.198858	14.15751	15.420897	15.066418	10.397949	11.686805	10.598167	9.539532	9.217743	9.874281	9.657456	8.249562	15.188299	16.302064	16.328545000000002	9.079997	10.755181	9.721514
ACYP1	5.298582	5.7454800000000015	7.553039	5.9502	5.4307620000000005	6.735385000000001	6.169905	6.6999830000000005	5.594115	5.0190790000000005	5.487841	6.462318	6.162033	6.038452	7.563614999999999	7.0776059999999985	5.9257610000000005	6.995326	8.3059	7.401239	6.186619	5.372277	6.030355
ACYP2	2.757037	1.989539	2.848826	2.112931	1.962994	2.602584	4.418375	3.396154	4.423831	2.812021	3.195104	2.860355	2.168676	2.017367	2.937267	2.584973	3.250147	4.296618	3.820587	4.535346	2.837646	2.067634	2.732451
ADA	7.621082	8.864161	8.788798	8.470155	8.066303999999999	7.773094	13.503391	15.441036	13.3182	8.543441	7.967902	7.828249	8.600252000000001	9.033716	9.061471	9.504898	8.997100999999997	17.209349	15.948843	15.617565	8.202573	8.729628	9.097559
ADAM8	0.159723	0.157527	0.162226	0.165576	0.244681	0.225114	0.291917	0.260221	0.268297	0.150886	0.182838	0.200985	0.183316	0.19716	0.197217	0.160428	0.238921	0.359199	0.5221560000000001	0.515794	0.297178	0.26264	0.187464
ADAM10	38.681735	42.024487	40.7334	36.396161	36.057239	38.251567	31.270607	32.509846	30.394622	38.47758	40.675082	38.260728	41.435931	41.460527	42.668129	41.502547	41.855462	37.419033	36.01425	35.495048	45.451109	42.778906	46.446662
ADAR	40.378786	38.742595	39.22854	40.386675	38.182851	38.839297	33.642547	32.764151	33.491369	39.651413	41.741584	39.565319	73.64589699999998	72.00493900000002	71.033142	68.158377	68.49669	49.841868	47.928432	49.027179	72.763677	73.821164	73.613286
ADARB1	13.237702	12.591514	12.748888	15.341709	12.903207	13.518755	28.412946	33.15963	31.029787	12.591784	13.703742000000002	13.152435999999998	15.944604	14.554093	16.284487	18.737429	16.348899	31.949603000000003	28.154442	33.428616	17.180508	18.007916	15.172163
ADCY3	14.372839	14.3222	13.486897	14.582472	13.08734	13.451479999999998	13.357419	13.239536	15.109213	14.310446	14.528618	14.300614	15.404984	15.608023	15.487176000000002	15.133231	15.405814	13.480091	13.811835999999998	13.81608	15.052359	14.561496	15.791945000000002
ADCY6	6.723803	6.352239	6.6522960000000015	7.363269	6.219668	6.655716	9.530112	9.880164	9.450072	6.866541000000002	6.9687660000000005	6.259482	6.828487	6.5662509999999985	7.299372999999999	7.264997	6.907066	11.272059	10.385363	10.444739	6.5265580000000005	7.254403999999999	6.9798
ADCY7	10.393731	10.358589	9.985649	9.368185	9.149232	9.966867	13.336628	12.17565	12.207238	9.463093	10.669539	9.867464	10.75942	10.007777	10.68957	10.029761	9.97529	14.628695	13.61043	13.275802	9.318992	10.040136	10.382709
ADCY9	4.177631	4.2072949999999985	4.432467	3.890729	3.560481	3.950654	4.1240260000000015	4.189143	4.24794	4.130795	4.326002	4.370071	4.6735690000000005	4.517396	4.3103940000000005	4.454541000000001	4.305634	5.228483	4.668677	4.625605	4.6793260000000005	4.451536	4.811253
ADD1	69.06659	66.508974	67.024091	66.686695	63.42430699999999	64.84177199999999	53.45971899999999	55.378151	55.528142	69.660012	68.789633	66.625857	70.837014	71.179684	69.314841	69.655474	68.555771	54.678048	53.204164	55.086186	70.399675	71.085676	71.142404
ADD3	28.17353	31.875698	29.043832	29.633975	27.983168	30.318729	21.314811	21.11591	21.953364	30.454786	29.326899	28.839313	32.511225	37.372557	30.39469	28.492374	33.094124	23.501089	23.601134	23.180697	32.809940999999995	34.430578999999994	37.554261
PLIN2	20.852301	20.417618	20.599831	19.801671	19.200807	18.912831	38.682068	43.128307	45.734202	18.032804	20.079827	20.426136	23.468071	23.272893	23.888323	25.058992	21.843549	50.313302	48.28608300000001	47.85217	23.968521	23.424314000000006	23.323998
ADH5	40.605087	40.037178	41.901512	39.604942	39.234135	41.180756	36.988277	39.422813	36.244732	40.775856	40.762222	41.824963	38.35363	38.718639	39.673569	40.157097	39.319725	40.00478	40.987923	37.766129	40.31189000000001	40.330399	39.959126
ADK	19.74399	19.147149	20.697837	21.488221	21.470425	23.720225	19.286117	23.069982	20.034087	19.61843	20.867143	20.931645	21.374302	20.958212	21.928272	21.813862	21.049911	20.525577	23.565968	22.783822	23.165552	22.890217	22.934633
ADM	12.859938	13.706927	12.223582	11.83305	12.459635	13.990325	19.438377	21.646122	21.255442	13.755026	12.652864	11.913044	15.092673	15.419198000000002	14.767697	14.875113	14.687984	25.033251	24.692589	26.626915000000004	14.811962	15.077465	14.688062
ADORA2A	0.0	0.0	0.0	0.134977	0.0	0.482958	0.33255300000000004	0.015587	0.312161	0.389982	0.006157	0.046409	0.014818	0.301671	0.042389	0.32928	0.303602	0.461957	0.296872	0.098137	0.493395	0.012633	0.0
ADORA2B	10.59924	10.734268	10.829956	9.335325	10.895903	10.39513	8.565398	10.591452	9.057061	10.280771	10.524841	11.026701	12.753229	11.899693	12.590636	11.336453	13.215709	10.516788	11.828388	11.12293	12.563709	12.574076	13.748881
ADPRH	0.989315	0.708092	0.8725209999999999	0.895225	0.54455	0.935962	1.016024	1.181214	1.13288	0.933189	0.699228	0.80304	1.120488	1.075748	0.944485	1.156307	0.808601	1.353202	1.222904	1.201853	1.425257	1.17595	1.155745
PARP1	44.26482	45.160217	46.2323	46.062321	43.412163	44.732128	23.825119	25.560909	24.209404	47.054005	45.674637	44.545822	44.591801	43.129044	42.497375	41.921535	41.830132	24.141567	24.367094	23.044706	42.897865	45.160145	43.267693
PARP4	28.468233	28.55736	27.9806	28.925177	26.730169	29.035483000000006	26.91491	25.670356	27.514405	29.341702	28.799749	27.045854	31.713635	33.279162	31.691483	29.273939	32.117822	29.10862	28.873355	28.185233	32.177695	32.23147	33.096859
ADRA1D	0.157506	0.118559	0.20141	0.134122	0.050485	0.095262	0.25697	0.285685	0.210124	0.047362	0.08212799999999999	0.027562	0.0	0.069691	0.085168	0.095049	0.077257	0.282262	0.13206800000000002	0.191956	0.06324600000000001	0.06111000000000001	0.032009
ADRA1B	6.837308	6.017402	7.419333	6.228339	5.630854	6.097252	4.028697	4.29281	5.2481019999999985	5.6348129999999985	6.749607000000001	7.311278	7.7419600000000015	7.102879	7.773511999999998	8.403963000000001	7.931414	5.817819999999998	5.830138	6.448157	7.8853399999999985	8.67887	7.287438000000001
ADRA2C	0.02819	0.01404	0.04746	0.054094	0.0	0.100049	0.02038	0.061025	0.038326	0.0	0.056713	0.099229	0.021608	0.033359	0.035042000000000004	0.0	0.0	0.095648	0.045171	0.127185	0.13376	0.067058	0.0
ADRB2	0.152115	0.066518	0.182456	0.28236100000000003	0.059049	0.165529	0.14293	0.304216	0.227006	0.211087	0.10461	0.317751	0.195778	0.503417	0.23062600000000005	0.36051	0.235065	0.06751599999999999	0.335831	0.223185	0.389629	0.19028	0.192915
GRK2	13.886623	12.881636	13.891131	13.199181	12.330291	12.198218	16.079288000000002	17.122861999999998	17.004369	13.160024	13.423892000000002	13.551594	14.247757	13.650520000000002	14.303993	13.839801	13.141509	16.315264000000006	16.703638	16.560087	13.892364	13.134133	14.414528
GRK3	0.490378	0.566009	0.523396	0.53391	0.431446	0.446759	0.267316	0.286233	0.337979	0.416493	0.5272399999999999	0.495045	0.709005	0.563334	0.483278	0.488537	0.5860529999999999	0.47688	0.35943400000000003	0.323571	0.5375300000000001	0.513366	0.468661
ADSL	32.007862	30.001359000000004	29.510922	28.871529	34.205397999999995	24.546716	21.968862	17.388574	14.252377	24.498684	25.708359	25.448826	22.376875	27.808892	23.420324	28.602654	24.125285	21.173649	17.399874	20.376692	24.184752	25.441385	24.384558
AP2A1	45.124341	44.92234000000001	44.833478	45.395849	44.031017	42.29137	48.680402	53.424654	46.774322	46.740547	46.589753	45.803966	43.885705	42.576833	45.541405	43.056931	40.720949	43.897094	42.778266	40.165453	40.401075	42.001454	41.678749
AP2A2	16.067547	16.00926	17.139676	15.683603	15.63215	15.519485	14.666527	15.500804	14.331219	16.879720000000002	16.229294	15.933985	15.340654999999998	15.771119	15.83733	15.310551	14.687141	13.278779	14.033523	14.108995000000002	15.956321	15.444581	16.16226
AP1B1	34.807629	32.94582	32.504232	33.629762	31.700036	32.673076	26.218588	30.170898	27.592721	33.81372	34.371921	33.905559000000004	33.795481	32.040519	33.880209	32.689408	31.295842	24.239423	24.267999	25.014229	31.630606	34.136186	33.129095
AP2B1	64.761394	65.06867	66.498442	66.711378	62.8734	67.598803	61.736095	62.466262	62.183634	66.852179	68.125148	63.547089	64.94393199999999	65.51222	65.348557	65.646105	64.93741	59.203233	58.081203	58.683438	65.90217	65.928125	64.750732
AP1G1	18.932661	19.656347	19.641929	19.507287	17.39108	19.380375	15.627020000000002	14.494463	15.510403	19.689356	20.207199	19.732962	19.500604	19.758097	18.832685	18.650036	19.954193	16.089257999999994	15.379884	16.079358	19.966155	20.080609	19.506993
AEBP1	39.595563	41.001775	39.99465900000001	41.262071	40.031393	40.13267800000001	84.920277	88.848718	89.57117099999998	41.577014	40.100777	40.283913	32.877472999999995	35.287352	34.437014000000005	33.790828999999995	33.529022	82.62746899999998	84.27161	85.864667	31.221645	32.761268	33.824642
AFP	0.272946	0.213265	0.116822	0.343666	0.277042	0.182882	0.074737	0.091372	0.076139	0.16065	0.158599	0.32413000000000003	0.198528	0.5058279999999999	0.261293	0.16688699999999998	0.242523	0.103996	0.0	0.141848	0.248031	0.216601	0.215669
AGA	4.8127879999999985	5.352803	4.651742	5.340241000000002	4.765469	5.151726999999998	3.841212	4.119822	3.622677	5.274349	4.94719	4.528091000000001	5.3412169999999985	5.630356	5.36687	5.558652	5.363038	3.968776	4.308375	3.89777	6.070551999999998	6.251915	5.620927
AGER	0.898942	0.966736	1.0932959999999998	1.356448	1.022948	1.229133	0.940921	1.124772	1.272379	0.936853	1.2669700000000002	1.27551	0.983949	1.147907	1.377502	1.114375	0.913626	1.339735	1.545408	1.331044	1.400417	0.968066	0.984861
AGL	4.200887000000002	3.625205	3.805918	4.22346	3.5272660000000005	4.13977	4.430756	3.792298	4.149578	4.129742	3.953495	3.740447	3.871969	4.210307	3.972452	3.924202	4.351507	4.158089	4.1517089999999985	3.988345	4.262775	4.1082220000000005	4.265428
JAG1	12.014891	12.031398	12.819304	12.203683	11.557007	12.569192	10.695693	10.493943	10.488783	11.897035	13.042697	12.230631	15.867191	15.221571	15.717755	14.92027	15.449922	13.363503	12.904182	13.285405	15.705976	15.436323000000002	16.290245000000002
AGTR1	0.758696	0.667375	0.7788970000000001	0.724028	0.842786	0.7842939999999999	1.344329	1.413597	1.053422	0.852049	0.8483450000000001	1.110041	0.8446040000000001	0.511706	0.912121	0.762579	0.704367	1.576164	1.583459	1.464791	0.730294	0.580277	0.669466
AHCY	72.502088	70.598761	77.63593	71.097898	73.00864200000002	72.887123	70.59498599999998	77.951406	69.475564	73.328772	72.08693000000002	73.452753	63.217792	60.164494	65.506888	65.981702	64.466224	60.489196	61.563851	59.78661	63.435153	62.371113	62.820065
AHR	6.309092	5.67491	6.3468800000000005	6.062974	5.209433	6.086653	6.480297	5.88783	6.346101999999999	5.714899	5.882931	5.225711	7.203061999999999	7.306653999999999	6.126831	6.039015	6.9419830000000005	6.5874820000000005	6.625549	6.932488	7.544248	7.8656380000000015	7.995848
CRYBG1	2.279458	2.316216	2.078532	2.020804	1.777316	2.156914	0.76161	0.743722	0.600816	2.504967	2.309203	2.198139	2.532308	2.500522	2.432445	1.845204	2.158684	0.801963	0.8531799999999999	0.800407	2.536642	2.202968	2.672536
AK1	11.83404	12.598813	11.301233	11.411314	11.579916	10.846249	12.3806	13.483001000000002	12.547579	13.262351999999998	12.950253	11.343106	11.913457	10.821123	11.790338	11.114618	10.750332	13.152178	13.20774	12.604176	12.149701	11.190801	11.461816
AK2	27.709111	28.654355	30.966236	30.909829	28.445679	29.585483	19.823746	22.218961	23.452404	29.680722	29.243017	27.830784	30.516547	26.649199	31.155322	27.283049	26.086765	24.698165	23.707579	23.400885	29.985532	26.116291	31.784179
AK4	3.205483	3.650259	3.792788	3.717223	3.057223	3.4307410000000003	5.816049	5.9294150000000005	5.83814	3.500983	3.537796	3.440886	3.5244089999999995	3.744276	3.843619	3.724883	3.755207	5.8810910000000005	5.3557489999999985	5.55204	4.113393	3.576492	3.89579
AKT1	74.638693	75.063186	75.737946	74.95845899999998	72.98042199999998	71.755735	61.942678	66.273363	62.43166400000001	73.909306	74.201146	72.72223100000002	71.206064	73.448259	74.450409	75.066552	73.058322	60.285325	60.45448199999999	60.945130000000006	73.553511	72.152288	73.08166
AKT2	18.627129	18.715762	19.505183	18.295276	16.686359	17.48294	16.348817999999998	18.957715	18.175916	17.825143	18.234819	20.600153	18.339929	18.874114	19.804603	18.344177	18.606356	17.824257	16.158548	17.407654	18.03261	17.857547	18.058589
ALAD	10.709871	10.388291	10.623061	10.269778	9.974562	10.727456	6.350414	7.932378	7.69607	10.659424	10.118695	10.726067	8.911412	8.337695	8.357161999999999	7.956467999999999	9.316714	7.646053	6.916032	7.598424	8.244164999999999	8.578831	8.539317
ALAS1	12.840855	12.10437	12.82392	13.145404999999998	13.979278	12.312207	16.960691	18.654763	17.546144	12.304911	12.300379	12.700283	15.070646	14.681781	13.562535999999998	14.54089	14.077589	19.401072	19.143331	19.073299	14.292325	15.425643	14.832124
ALCAM	129.059985	123.83884	128.327111	122.62188700000002	110.779855	126.054715	77.404169	74.92802900000002	76.954537	124.7792	130.76320900000002	130.022731	153.083928	154.955603	145.2503	145.571318	148.95371699999995	84.28241700000002	86.41612099999998	83.66454	168.317207	160.866655	161.297476
ABCD1	4.625611	4.258707	4.325955	4.284695	3.730226	4.134888	4.1587	4.866235	4.034275	4.1239870000000005	4.1879620000000015	4.292939	4.7639510000000005	4.651309	4.9893730000000005	4.709354	4.396346	4.84846	4.693898	4.936101	4.436317	4.894678	4.8680910000000015
ALDH1A1	3.108431	2.603208	2.568892	2.430965	2.442902	2.101564	6.4634269999999985	7.916967	6.614988	2.666726	2.899125	2.430276	3.874247	2.9646220000000003	4.157651	4.014991	4.437709	6.555702	6.143095	6.404195	3.97034	3.497628	3.214925
ALDH2	1.42466	1.579723	1.658628	1.653004	1.656759	1.797141	1.6947290000000002	1.977471	1.676086	1.7083540000000002	1.658675	1.805674	1.394565	1.493575	1.371337	1.412967	1.250345	1.645034	1.478092	1.674194	1.290268	1.4322780000000002	1.407448
ALDH1B1	16.405342	15.042431	16.11352	16.493538	15.209523	15.341870000000002	12.686088	14.666841	13.508176999999998	17.160435999999994	15.990139	15.438560999999998	16.108531	14.590584	16.51742	16.082352	14.857879999999998	14.360916	14.567694	13.577668	15.552657	15.686534	16.329792
ALDH1A3	12.027115	12.265861	10.421499	12.991128	11.900441	12.862063	15.871472	15.767452	15.927965	11.79466	11.391368	11.09708	12.242146	12.017881	11.578283	12.524606	12.50744	16.626217	16.336614	16.598292999999998	11.463782	12.774132	12.535637
